OPEID,INSTNM,CITY,STABBR,INSTURL,ADM_RATE,SAT_AVG,GRAD_DEBT_MDN,INEXPFTE,PFTFAC,LOCALE,UGDS_WHITE,C150_4,adm_rank,sat_avg_rank,grad_debt_rank,ugrad_white_rank,inexpfte_rank,pftfac_rank,c150_rank
130500,Stanford University,Stanford,CA,www.stanford.edu/,0.0509,1465,12782,93146,0.9789,21,0.3752,0.946,1,12,35,172,3,227,15
215500,Harvard University,Cambridge,MA,www.harvard.edu,0.0596,1501,6500,49500,0.8653,12,0.4527,0.9752,2,3,5,244,12,377,2
142600,Yale University,New Haven,CT,www.yale.edu,0.063,1493,13774,107982,0.7395,12,0.4705,0.962,3,6,45,262,1,570,4
270700,Columbia University in the City of New York,New York,NY,www.columbia.edu,0.0695,1470,23000,80944,0.5344,11,0.3874,0.9469,4,11,472,183,6,924,13
262700,Princeton University,Princeton,NJ,www.princeton.edu,0.0744,1491,7500,52224,0.8598,21,0.4597,0.9678,5,7,7,254,10,388,3
217800,Massachusetts Institute of Technology,Cambridge,MA,web.mit.edu/student/,0.0788,1500,14990,62770,0.9891,12,0.3677,0.913,6,5,56,169,9,205,36
340100,Brown University,Providence,RI,www.brown.edu,0.0874,1435,15500,33278,0.8821,12,0.4355,0.9612,7,24,68,224,24,347,5
177400,University of Chicago,Chicago,IL,WWW.UCHICAGO.EDU,0.0876,1505,12500,83779,0.8204,11,0.4491,0.9288,8,2,34,236,5,445,25
113100,California Institute of Technology,Pasadena,CA,www.caltech.edu,0.0883,1545,11812.5,92590,0.9462,12,0.2787,0.9153,9,1,26,124,4,280,32
337800,University of Pennsylvania,Philadelphia,PA,www.upenn.edu,0.1037,1452,21500,49018,0.7158,11,0.4543,0.9561,10,18,350,245,13,612,7
117000,Claremont McKenna College,Claremont,CA,www.cmc.edu,0.1077,1419,13500,25915,0.9126,21,0.4277,0.9031,11,30,41,217,45,320,46
292000,Duke University,Durham,NC,WWW.DUKE.EDU,0.1141,1454,7500,50756,0.9447,12,0.4775,0.9485,12,16,7,267,11,281,12
257300,Dartmouth College,Hanover,NH,www.dartmouth.edu,0.115,1444,12000,25102,0.7964,33,0.4804,0.9516,13,20,29,268,48,480,9
3946300,Franklin W Olin College of Engineering,Needham,MA,www.olin.edu,0.12,1475,16125,30582,0.7593,21,0.5599,0.9467,14,10,87,385,29,536,14
117300,Pomona College,Claremont,CA,www.pomona.edu,0.1219,1454,9788,37082,0.9712,21,0.4269,0.9267,15,16,14,216,20,241,28
353500,Vanderbilt University,Nashville,TN,www.vanderbilt.edu,0.1309,1481,13000,79372,0.8207,11,0.5826,0.9286,16,8,38,431,7,444,26
173900,Northwestern University,Evanston,IL,www.northwestern.edu,0.1311,1461,18900,37339,0.8196,13,0.5263,0.9331,17,13,162,326,19,449,21
211500,Amherst College,Amherst,MA,www.amherst.edu,0.1384,1439,11706,25196,0.8988,21,0.4191,0.9406,18,22,25,206,47,333,20
271100,Cornell University,Ithaca,NY,www.cornell.edu,0.1419,1422,12034.5,23818,0.9053,13,0.4209,0.932,19,28,30,209,53,326,22
117100,Harvey Mudd College,Claremont,CA,https://www.hmc.edu,0.1425,1500,26000,30078,0.8796,21,0.4389,0.901,20,5,849,225,33,352,50
271000,Cooper Union for the Advancement of Science and Art,New York,NY,www.cooper.edu,0.1506,1388,18250,21635,1,11,0.3333,0.839,21,39,141,146,65,190,82
360400,Rice University,Houston,TX,www.rice.edu,0.151,1460,9641.5,40056,0.7844,11,0.3794,0.915,22,14,13,177,16,499,33
131200,University of California-Berkeley,Berkeley,CA,www.berkeley.edu,0.1602,1382,14200,18988,0.7115,12,0.2758,0.9069,23,41,47,121,89,621,42
207700,Johns Hopkins University,Baltimore,MD,www.jhu.edu,0.1608,1439,16250,77339,0.8777,11,0.4516,0.9308,24,22,90,241,8,356,23
242400,Mississippi Valley State University,Itta Bena,MS,www.mvsu.edu,0.1633,825,30362.5,8966,0.7628,33,0.0303,0.2982,25,1229,1206,41,539,528,1179
337000,Swarthmore College,Swarthmore,PA,www.swarthmore.edu,0.1702,1433,18100,32124,0.8745,21,0.4183,0.9409,26,25,139,203,25,363,19
252000,Washington University in St Louis,Saint Louis,MO,www.wustl.edu,0.1713,1478,20500,105933,0.6222,21,0.5539,0.9496,27,9,268,373,2,788,10
369100,Middlebury College,Middlebury,VT,www.middlebury.edu,0.1717,1379,17500,24640,0.8709,32,0.6501,0.941,28,45,128,586,49,368,18
221900,Tufts University,Medford,MA,www.tufts.edu,0.1724,1423,18000,21543,0.6495,21,0.575,0.923,29,26,137,411,67,730,30
144500,Georgetown University,Washington,DC,www.georgetown.edu,0.1735,1414,17000,31102,0.5175,11,0.5813,0.9491,30,31,112,424,28,949,11
132800,University of Southern California,Los Angeles,CA,www.usc.edu/,0.1802,1380,21500,43170,0.5714,11,0.3644,0.9084,31,44,350,165,14,879,41
131500,University of California-Los Angeles,Los Angeles,CA,www.ucla.edu/,0.1856,1330,16126,40020,0.6872,11,0.2784,0.9098,32,66,88,122,17,658,38
222900,Williams College,Williamstown,MA,www.williams.edu,0.1932,1452,13211.5,39712,0.8231,31,0.5557,0.9535,33,18,39,377,18,442,8
376800,Washington and Lee University,Lexington,VA,www.wlu.edu/,0.1946,1395,21500,31496,0.7434,32,0.8298,0.8767,34,36,350,1113,27,560,62
202600,Southern University at New Orleans,New Orleans,LA,www.suno.edu,0.207,806,23590,5681,0.7651,11,0.0223,0.1172,35,1237,533,32,1095,522,1249
184000,University of Notre Dame,Notre Dame,IN,www.nd.edu,0.2114,1450,21250,26632,0.8777,21,0.7067,0.9573,36,19,301,754,42,356,6
