opeid,adm_rate,sat_avg,adm_rate_rank,sat_avg_rank
113100,0.0883,1545,-29366,-36580
177400,0.0876,1505,-29403,-33548
215500,0.0596,1501,-30864,-33245
217800,0.0788,1500,-29862,-33169
117100,0.1425,1500,-26538,-33169
142600,0.063,1493,-30687,-32639
262700,0.0744,1491,-30092,-32487
353500,0.1309,1481,-27143,-31730
252000,0.1713,1478,-25035,-31502
3946300,0.12,1475,-27712,-31275
270700,0.0695,1470,-30348,-30896
130500,0.0509,1465,-31318,-30517
173900,0.1311,1461,-27133,-30214
360400,0.151,1460,-26094,-30138
292000,0.1141,1454,-28020,-29683
117300,0.1219,1454,-27613,-29683
337800,0.1037,1452,-28563,-29532
222900,0.1932,1452,-23892,-29532
184000,0.2114,1450,-22942,-29380
257300,0.115,1444,-27973,-28926
211500,0.1384,1439,-26752,-28547
207700,0.1608,1439,-25583,-28547
324200,0.246,1436,-21137,-28319
340100,0.0874,1435,-29413,-28243
337000,0.1702,1433,-25092,-28092
221900,0.1724,1423,-24978,-27334
271100,0.1419,1422,-26569,-27258
327400,0.2469,1422,-21090,-27258
219900,0.3222,1420,-17160,-27107
117000,0.1077,1419,-28354,-27031
144500,0.1735,1414,-24920,-26652
234000,0.2277,1408,-22092,-26197
289500,0.2354,1403,-21690,-25818
156900,0.3338,1400,-16555,-25591
186800,0.2801,1398,-19357,-25439
376800,0.1946,1395,-23819,-25212
272800,0.2635,1393,-20223,-25061
222400,0.3011,1390,-18261,-24833
271000,0.1506,1388,-26115,-24682
321700,0.3873,1383,-13763,-24303
131200,0.1602,1382,-25614,-24227
132800,0.1802,1380,-24571,-24075
232500,0.3224,1380,-17150,-24075
212800,0.3391,1380,-16278,-24075
369100,0.1717,1379,-25014,-24000
302400,0.3831,1375,-13982,-23696
370500,0.3302,1373,-16743,-23545
280300,0.375,1372,-14405,-23469
270100,0.2624,1369,-20281,-23242
213300,0.3522,1369,-15594,-23242
156400,0.2682,1366,-19978,-23014
117400,0.284,1360,-19154,-22560
374500,0.29,1357,-18840,-22332
235800,0.3635,1354,-15005,-22105
308600,0.3272,1349,-16899,-21726
263900,0.4378,1346,-11127,-21499
278500,0.3545,1344,-15474,-21347
270800,0.2377,1343,-21570,-21271
202900,0.2795,1342,-19388,-21196
291800,0.2167,1337,-22666,-20817
374400,0.318,1337,-17379,-20817
203900,0.2805,1333,-19336,-20513
134800,0.3647,1333,-14942,-20513
306500,0.2506,1332,-20897,-20438
131500,0.1856,1330,-24289,-20286
153600,0.3818,1330,-14050,-20286
297400,0.285,1328,-19101,-20135
328900,0.3427,1326,-16090,-19983
177500,0.5904,1326,-3164,-19983
380300,0.4101,1323,-12573,-19756
209200,0.8696,1323,11407,-19756
323800,0.3072,1317,-17943,-19301
361300,0.524,1316,-6629,-19225
210300,0.4793,1315,-8962,-19149
131700,0.3329,1313,-16602,-18998
323700,0.4047,1313,-12855,-18998
338800,0.4933,1313,-8231,-18998
178100,0.6915,1311,2112,-18846
132600,0.4935,1309,-8220,-18695
183000,0.5879,1308,-3294,-18619
328400,0.2975,1300,-18449,-18013
213000,0.3451,1300,-15965,-18013
124900,0.4204,1300,-12035,-18013
144400,0.4379,1297,-11122,-17785
365800,0.3966,1296,-13277,-17709
318500,0.4026,1296,-12964,-17709
351900,0.5999,1296,-2668,-17709
238200,0.5128,1292,-7213,-17406
309000,0.5296,1292,-6337,-17406
367000,0.47,1290,-9447,-17255
283600,0.4406,1287,-10981,-17027
389500,0.5694,1286,-4260,-16952
251700,0.8585,1283,10828,-16724
364700,0.4842,1281,-8706,-16573
337900,0.5312,1275,-6253,-16118
3957400,0.5987,1274,-2730,-16042
153500,0.4561,1273,-10172,-15966
212100,0.2631,1272,-20244,-15891
396900,0.4535,1271,-10308,-15815
169100,0.506,1266,-7568,-15436
196100,0.7157,1263,3375,-15209
342500,0.5152,1261,-7088,-15057
2358000,0.827,1261,9184,-15057
974100,0.6194,1259,-1650,-14905
340900,0.3259,1254,-16967,-14527
283800,0.4134,1254,-12401,-14527
272200,0.4812,1254,-8862,-14527
132000,0.3634,1253,-15010,-14451
297200,0.516,1253,-7046,-14451
143400,0.4584,1252,-10052,-14375
169600,0.6043,1249,-2438,-14148
159800,0.5572,1248,-4896,-14072
212400,0.4611,1247,-9911,-13996
141700,0.4996,1246,-7902,-13920
214600,0.4918,1244,-8309,-13769
229200,0.755,1244,5426,-13769
109900,0.8282,1244,9246,-13769
1039500,0.4625,1243,-9838,-13693
386800,0.6865,1243,1851,-13693
281400,0.3734,1241,-14488,-13541
379800,0.5521,1240,-5162,-13466
280600,0.5747,1240,-3983,-13466
307700,0.6584,1240,385,-13466
250600,0.6108,1239,-2099,-13390
186000,0.6926,1239,2170,-13390
227500,0.6965,1239,2373,-13390
727300,0.279,1235,-19414,-13087
114300,0.3089,1234,-17854,-13011
1014900,0.3546,1234,-15469,-13011
137100,0.7649,1231,5943,-12783
379700,0.7929,1230,7404,-12708
198700,0.8262,1230,9142,-12708
303700,0.5909,1229,-3138,-12632
148900,0.5539,1228,-5068,-12556
354500,0.5536,1227,-5084,-12480
131300,0.4037,1226,-12907,-12405
249500,0.7448,1226,4894,-12405
292700,0.5393,1225,-5830,-12329
226200,0.7164,1223,3412,-12177
284500,0.5913,1221,-3117,-12026
290300,0.818,1221,8714,-12026
386300,0.6671,1220,839,-11950
105500,0.8203,1219,8834,-11874
1164900,0.5271,1218,-6467,-11798
222100,0.6139,1217,-1937,-11722
344800,0.652,1217,51,-11722
262900,0.605,1215,-2402,-11571
375400,0.7263,1215,3929,-11571
100900,0.8347,1215,9586,-11571
264200,0.4897,1213,-8419,-11419
179200,0.566,1213,-4437,-11419
182500,0.5929,1213,-3033,-11419
210500,0.5961,1213,-2866,-11419
171000,0.6334,1212,-920,-11344
3724300,0.6488,1211,-116,-11268
365100,0.8513,1211,10452,-11268
116400,0.4704,1210,-9426,-11192
322700,0.8131,1209,8458,-11116
363600,0.4887,1207,-8471,-10965
377800,0.6751,1207,1257,-10965
137000,0.8416,1207,9946,-10965
363200,0.7103,1206,3094,-10889
158000,0.6672,1205,844,-10813
178800,0.6846,1205,1752,-10813
254200,0.7267,1200,3949,-10434
185600,0.7363,1200,4450,-10434
353000,0.7483,1198,5077,-10283
180900,0.7609,1198,5734,-10283
332900,0.5029,1196,-7730,-10131
269900,0.6214,1195,-1546,-10055
322400,0.6293,1195,-1134,-10055
312700,0.5901,1194,-3179,-9979
143100,0.6783,1194,1424,-9979
345700,0.7739,1194,6413,-9979
265400,0.3639,1193,-14984,-9904
285100,0.5113,1193,-7292,-9904
290700,0.7314,1191,4195,-9752
369600,0.7344,1191,4351,-9752
318400,0.8133,1189,8469,-9601
710800,0.2817,1188,-19274,-9525
209500,0.7887,1188,7185,-9525
302500,0.7449,1187,4899,-9449
325600,0.7601,1186,5692,-9373
395400,0.4961,1185,-8085,-9297
105100,0.5105,1185,-7333,-9297
132900,0.549,1185,-5324,-9297
246100,0.7441,1185,4857,-9297
227300,0.7741,1185,6423,-9297
288200,0.5323,1184,-6196,-9222
183800,0.8803,1184,11965,-9222
155400,0.6083,1183,-2229,-9146
379000,0.7335,1183,4304,-9146
303600,0.7792,1183,6689,-9146
224100,0.7314,1182,4195,-9070
101200,0.5339,1181,-6112,-8994
347000,0.8802,1181,11960,-8994
308900,0.6859,1180,1820,-8918
234100,0.8218,1179,8912,-8843
241400,0.5718,1178,-4134,-8767
299000,0.6436,1178,-387,-8767
358400,0.494,1177,-8194,-8691
146900,0.6157,1176,-1843,-8615
347900,0.8272,1176,9194,-8615
348600,0.5558,1175,-4969,-8540
134100,0.7936,1175,7441,-8540
348400,0.9664,1175,16458,-8540
316400,0.6048,1171,-2412,-8236
220800,0.5216,1170,-6754,-8161
352800,0.6858,1170,1815,-8161
323000,0.7177,1170,3480,-8161
335300,0.5788,1169,-3769,-8085
131400,0.3742,1168,-14446,-8009
262100,0.6339,1168,-894,-8009
234600,0.6428,1166,-429,-7857
251600,0.7767,1166,6559,-7857
208000,0.5416,1165,-5710,-7782
283700,0.5781,1165,-3806,-7782
103600,0.5954,1165,-2903,-7782
288500,0.674,1165,1199,-7782
316600,0.6777,1165,1392,-7782
312500,0.7578,1165,5572,-7782
249900,0.7694,1164,6178,-7706
189200,0.8095,1164,8270,-7706
153701,0.3534,1162,-15532,-7554
375300,0.444,1162,-10804,-7554
153700,0.5316,1162,-6232,-7554
345800,0.6129,1162,-1989,-7554
164100,0.643,1162,-419,-7554
201000,0.7663,1161,6016,-7479
215300,0.8837,1161,12143,-7479
268900,0.3467,1160,-15881,-7403
362000,0.4852,1159,-8654,-7327
354300,0.5438,1159,-5596,-7327
229000,0.6609,1158,516,-7251
187400,0.7116,1157,3161,-7175
110800,0.6204,1155,-1598,-7024
237900,0.7876,1155,7128,-7024
184200,0.8236,1155,9006,-7024
372100,0.6573,1153,328,-6872
148700,0.7274,1153,3986,-6872
370600,0.5588,1152,-4813,-6797
344100,0.5946,1152,-2944,-6797
132500,0.6005,1152,-2637,-6797
374900,0.6665,1152,808,-6797
123800,0.7614,1152,5760,-6797
2075800,0.8079,1151,8187,-6721
368400,0.6417,1150,-486,-6645
132100,0.5572,1149,-4896,-6569
290600,0.6266,1148,-1274,-6493
238900,0.6359,1148,-789,-6493
148800,0.4481,1147,-10590,-6418
273200,0.6161,1147,-1822,-6418
720600,0.8262,1147,9142,-6418
185400,0.553,1146,-5115,-6342
256500,0.6989,1146,2499,-6342
905800,0.9543,1146,15827,-6342
298400,0.5855,1145,-3419,-6266
216100,0.6201,1145,-1614,-6266
391900,0.7629,1145,5839,-6266
108100,0.8433,1145,10034,-6266
186900,0.8691,1145,11381,-6266
194800,0.9142,1145,13734,-6266
325800,0.7306,1144,4153,-6190
199900,0.7386,1144,4570,-6190
179500,0.8295,1144,9314,-6190
183600,0.8334,1144,9518,-6190
150900,0.4881,1143,-8502,-6114
198900,0.7221,1142,3709,-6039
279800,0.5299,1141,-6321,-5963
252400,0.6283,1141,-1186,-5963
378800,0.834,1140,9549,-5887
365200,0.6299,1139,-1102,-5811
158600,0.7823,1139,6851,-5811
108102,0.7673,1138,6068,-5736
248200,0.7205,1137,3626,-5660
317000,0.7495,1137,5139,-5660
342800,0.7802,1137,6741,-5660
195200,0.687,1135,1878,-5508
126200,0.6953,1135,2311,-5508
201600,0.9025,1135,13124,-5508
297900,0.7177,1134,3480,-5432
157000,0.7906,1134,7284,-5432
252600,0.5753,1133,-3952,-5357
984100,0.6057,1133,-2365,-5357
326200,0.7082,1133,2984,-5357
263200,0.7554,1133,5447,-5357
160200,0.7624,1132,5812,-5281
367500,0.8142,1131,8516,-5205
109700,0.9912,1131,17753,-5205
268800,0.3806,1130,-14112,-5129
143700,0.7391,1130,4596,-5129
251800,0.6426,1129,-439,-5053
131600,0.5829,1128,-3555,-4978
184400,0.6998,1128,2546,-4978
135000,0.8048,1128,8025,-4978
253200,0.8385,1128,9784,-4978
227900,0.5742,1127,-4009,-4902
316500,0.6401,1127,-570,-4902
281600,0.6586,1127,395,-4902
4095300,0.7039,1127,2760,-4902
242300,0.7102,1126,3088,-4826
195500,0.3366,1125,-16409,-4750
170900,0.5624,1125,-4625,-4750
173400,0.5984,1125,-2746,-4750
223500,0.6079,1125,-2250,-4750
337100,0.6173,1125,-1760,-4750
177600,0.7448,1125,4894,-4750
338400,0.7726,1125,6345,-4750
329800,0.7998,1125,7764,-4750
389200,0.8171,1125,8667,-4750
188700,0.8545,1125,10619,-4750
253100,0.9075,1125,13385,-4750
236100,0.9732,1125,16813,-4750
255500,0.7814,1124,6804,-4675
347700,0.6104,1123,-2120,-4599
284600,0.4193,1122,-12093,-4523
112200,0.754,1122,5374,-4523
368100,0.9576,1122,15999,-4523
273400,0.9381,1121,14982,-4447
