opeid,pftfac,locale,ugds_white,inexpfte,grad_debt_mdn,pftfac_rank,ugds_white_rank,inexpfte_rank,grad_debt_mdn_rank
130500,0.9789,21,0.3752,93146,12782,-11996,-10815,-94176,-23880
215500,0.8653,12,0.4527,49500,6500,-7134,-7251,-44448,-37755
142600,0.7395,12,0.4705,107982,13774,-1750,-6432,-111079,-21689
270700,0.5344,11,0.3874,80944,23000,7028,-10254,-80274,-1311
262700,0.8598,21,0.4597,52224,7500,-6898,-6929,-47552,-35547
217800,0.9891,12,0.3677,62770,14990,-12432,-11160,-59567,-19003
340100,0.8821,12,0.4355,33278,15500,-7853,-8042,-25966,-17877
177400,0.8204,11,0.4491,83779,12500,-5212,-7416,-83504,-24503
113100,0.9462,12,0.2787,92590,11812.5,-10596,-15253,-93542,-26021
337800,0.7158,11,0.4543,49018,21500,-735,-7177,-43899,-4624
117000,0.9126,21,0.4277,25915,13500,-9158,-8400,-17577,-22294
292000,0.9447,12,0.4775,50756,7500,-10532,-6110,-45879,-35547
257300,0.7964,33,0.4804,25102,12000,-4185,-5977,-16651,-25607
3946300,0.7593,21,0.5599,30582,16125,-2597,-2320,-22895,-16496
117300,0.9712,21,0.4269,37082,9788,-11666,-8437,-30300,-30493
353500,0.8207,11,0.5826,79372,13000,-5225,-1276,-78483,-23399
173900,0.8196,13,0.5263,37339,18900,-5178,-3866,-30593,-10367
211500,0.8988,21,0.4191,25196,11706,-8567,-8796,-16758,-26257
271100,0.9053,13,0.4209,23818,12034.5,-8846,-8713,-15188,-25531
117100,0.8796,21,0.4389,30078,26000,-7746,-7885,-22320,5315
271000,1,11,0.3333,21635,18250,-12899,-12742,-12701,-11803
360400,0.7844,11,0.3794,40056,9641.5,-3671,-10622,-33689,-30817
131200,0.7115,12,0.2758,18988,14200,-551,-15387,-9685,-20748
207700,0.8777,11,0.4516,77339,16250,-7664,-7301,-76166,-16220
242400,0.7628,33,0.0303,8966,30362.5,-2747,-26678,1733,14950
337000,0.8745,21,0.4183,32124,18100,-7527,-8833,-24651,-12134
252000,0.6222,21,0.5539,105933,20500,3271,-2596,-108744,-6833
369100,0.8709,32,0.6501,24640,17500,-7373,1828,-16125,-13459
221900,0.6495,21,0.575,21543,18000,2102,-1626,-12596,-12355
144500,0.5175,11,0.5813,31102,17000,7752,-1336,-23487,-14564
132800,0.5714,11,0.3644,43170,21500,5445,-11312,-37237,-4624
131500,0.6872,11,0.2784,40020,16126,489,-15267,-33648,-16494
222900,0.8231,31,0.5557,39712,13211.5,-5328,-2513,-33297,-22931
376800,0.7434,32,0.8298,31496,21500,-1916,10093,-23936,-4624
202600,0.7651,11,0.0223,5681,23590,-2845,-27046,5476,-8
184000,0.8777,21,0.7067,26632,21250,-7664,4432,-18394,-5177
291800,0.9624,21,0.6907,19228,16385,-11289,3696,-9959,-15922
158700,0.6883,12,0.0214,13491,38185,442,-27087,-3422,32228
2053000,0.6263,13,0.5121,2350,23250,3095,-4519,9271,-759
234000,0.908,32,0.6499,26922,17500,-8961,1819,-18725,-13459
289500,0.8413,21,0.5885,29919,16725,-6106,-1005,-22139,-15171
270800,0.6331,11,0.5501,21263,16725,2804,-2771,-12277,-15171
376600,0.6173,12,0.0023,6339,33450,3480,-27966,4726,21770
3982300,0.9444,11,0.6696,20566,25625,-10519,2725,-11483,4486
156600,0.9224,31,0.0373,5226,36250,-9577,-26356,5994,27954
301100,0.1818,11,0.7761,5809,27000,22119,7623,5330,7523
324200,0.9375,11,0.3538,31807,25250,-10224,-11799,-24290,3658
327400,0.8538,21,0.6436,28622,14000,-6641,1529,-20662,-21190
306500,0.9626,32,0.7371,22319,19000,-11298,5830,-13480,-10146
884800,0.3386,41,0.3788,3151,23250,15408,-10649,8358,-759
270100,1,32,0.6723,22975,16114.5,-12899,2849,-14228,-16520
212100,0.7192,21,0.3863,14110,27000,-881,-10305,-4128,7523
272800,0.8941,41,0.6423,30436,15300,-8366,1470,-22728,-18319
3088800,0.3393,11,0.6979,10380,29125,15378,4027,122,12217
156400,0.6659,21,0.4072,40450,19000,1400,-9343,-34138,-10146
329000,1,21,0.014,8047,31326.5,-12899,-27428,2780,17080
727300,0.4467,11,0.2503,8733,11000,10782,-16560,1999,-27816
202900,0.5755,11,0.7138,21627,27000,5269,4758,-12692,7523
186800,0.8402,33,0.5844,23944,10876.5,-6059,-1193,-15332,-28089
203900,0.8296,33,0.601,19918,19195.5,-5606,-430,-10745,-9714
710800,0.8747,11,0.0074,12073,5500,-7536,-27731,-1807,-39964
117400,0.7168,21,0.4906,28832,13749.5,-778,-5508,-20901,-21743
238300,0.3056,41,0.7452,3426,26259,16821,6202,8045,5887
297400,0.8499,13,0.6517,25710,16149,-6475,1902,-17344,-16443
702200,0.4649,11,0.0691,9882,10000,10003,-24893,689,-30025
374500,0.937,23,0.6117,16988,19633,-10202,62,-7407,-8748
371400,1,12,0.0246,8563,27000,-12899,-26940,2192,7523
328400,0.8526,21,0.6819,21109,25185,-6590,3291,-12102,3515
169400,0.7487,11,0.0232,15606,30269,-2143,-27005,-5832,14744
222400,0.8564,21,0.4153,34705,9000,-6753,-8971,-27592,-32234
