opeid,c150_4,c150_4_rank
130500,0.946,15
215500,0.9752,2
142600,0.962,4
270700,0.9469,13
262700,0.9678,3
217800,0.913,36
340100,0.9612,5
177400,0.9288,25
113100,0.9153,32
337800,0.9561,7
117000,0.9031,46
292000,0.9485,12
257300,0.9516,9
3946300,0.9467,14
117300,0.9267,28
353500,0.9286,26
173900,0.9331,21
211500,0.9406,20
271100,0.932,22
117100,0.901,50
271000,0.839,82
360400,0.915,33
131200,0.9069,42
207700,0.9308,23
242400,0.2982,1179
337000,0.9409,19
252000,0.9496,10
369100,0.941,18
221900,0.923,30
144500,0.9491,11
132800,0.9084,41
131500,0.9098,38
222900,0.9535,8
376800,0.8767,62
202600,0.1172,1249
184000,0.9573,6
291800,0.9271,27
158700,0.1777,1239
2053000,0.5041,729
234000,0.9303,24
289500,0.9185,31
270800,0.8885,56
376600,0.2551,1210
3982300,0.5,744
156600,0.3175,1159
301100,0.617,437
324200,0.883,59
327400,0.9419,16
306500,0.8923,54
884800,0.3767,1051
270100,0.924,29
212100,0.9028,47
272800,0.9111,37
3088800,0.4,1006
156400,0.8892,55
329000,0.4146,973
727300,0.656,342
202900,0.8293,89
186800,0.8939,51
203900,0.9046,43
710800,0.4698,831
117400,0.8685,67
238300,0.5714,543
297400,0.9026,48
702200,0.3708,1063
374500,0.9416,17
371400,0.6647,320
328400,0.9033,45
169400,0.1915,1234
222400,0.9144,34
323800,0.886,58
114300,0.75,174
125200,0.4943,761
339600,0.4138,975
374400,0.8426,79
219900,0.8162,100
232500,0.9087,39
381900,0.3465,1105
340900,0.8716,66
308600,0.8781,61
370500,0.9044,44
342900,0.6786,281
131700,0.8618,71
156900,0.8154,103
195500,0.6223,422
212800,0.9131,35
328900,0.8739,64
115100,0.6599,334
213000,0.847,77
268900,0.5166,698
160600,0.5484,604
213300,0.9085,40
386900,0.4943,761
349503,0.3529,1097
268700,0.5023,735
153701,0.3182,1156
278500,0.8301,88
113900,0.6517,350
1014900,0.8412,81
357600,0.4458,899
195100,0.5132,711
132000,0.8129,106
235800,0.9017,49
265400,0.4545,878
1205900,0.3871,1031
134800,0.7613,163
223800,0.5866,506
159600,0.5226,685
475900,0.29,1184
269300,0.3857,1035
281400,0.8681,68
133900,0.5591,569
131400,0.8649,70
280300,0.8214,94
314100,0.3005,1178
302600,0.2229,1221
381000,0.3371,1120
2280900,0.3611,1079
694100,0.4,1006
268800,0.4415,911
350700,0.5248,677
364500,0.403,1000
153600,0.8099,110
302400,0.8113,109
380900,0.337,1122
290800,0.4372,923
270400,0.2897,1185
108600,0.2721,1197
321700,0.7933,132
243300,0.1805,1238
363000,0.3783,1047
365800,0.8064,115
2328900,0.8197,96
407215,0.2778,1193
269000,0.5664,551
138000,0.4289,949
318500,0.7014,241
243900,0.5274,669
131300,0.8321,86
323700,0.8169,98
200400,0.3642,1072
228800,0.4455,901
121500,0.4967,751
256700,0.3661,1069
679100,0.6742,291
380300,0.8728,65
187100,0.3221,1145
283800,0.6857,270
382600,0.245,1217
395500,0.5146,705
284600,0.7393,184
124900,0.8522,75
106100,0.6,468
293600,0.4368,926
897600,0.3298,1129
380600,0.4522,883
314700,0.1328,1247
298100,0.5829,519
206800,0.1754,1242
398100,0.5934,488
295000,0.4678,838
349900,0.3189,1152
201500,0.3372,1119
260900,0.667,312
142800,0.4258,957
342400,0.4924,765
263900,0.821,95
144400,0.7938,130
152100,0.4247,961
200600,0.3017,1175
283600,0.8093,111
104700,0.3498,1102
194500,0.3933,1020
375300,0.7084,227
113700,0.5572,572
254700,0.5484,604
148800,0.6499,355
206700,0.398,1012
123600,0.4331,934
396900,0.784,140
266300,0.4778,809
232200,0.3571,1090
339900,0.6071,458
2069000,0.6667,317
153500,0.8751,63
677100,0.6239,418
196000,0.3824,1044
349400,0.1765,1241
143400,0.8166,99
294800,0.3729,1057
295600,0.3778,1049
146600,0.3596,1081
212400,0.8816,60
356000,0.546,612
1039500,0.7673,157
348500,0.3711,1061
121600,0.5859,509
381300,0.3223,1144
303500,0.4326,935
285800,0.4461,898
965100,0.454,879
695100,0.3842,1037
294900,0.425,959
367000,0.7902,135
116400,0.7448,176
373800,0.3128,1163
295500,0.349,1103
371300,0.6731,296
154400,0.3962,1014
350900,0.44,914
385000,0.3939,1018
125800,0.4559,872
194300,0.3451,1108
170800,0.5747,537
196800,0.1979,1230
196500,0.3438,1110
2169100,0.3269,1136
370400,0.6107,455
356500,0.5185,693
284900,0.6117,450
103300,0.4371,925
789300,0.5845,514
210300,0.8475,76
272200,0.8002,124
284800,0.6328,390
157500,0.1295,1248
144800,0.6032,462
228400,0.1818,1237
353600,0.5258,675
364700,0.8122,107
362000,0.7307,191
160100,0.4084,988
663900,0.6429,368
150900,0.4611,856
363600,0.7545,170
148000,0.3957,1015
284100,0.6811,275
264200,0.8664,69
292600,0.3915,1025
190500,0.5763,535
156300,0.4524,881
214600,0.7966,129
105000,0.4723,824
195800,0.2566,1209
338800,0.8937,52
132600,0.8525,74
358400,0.5147,704
206500,0.581,525
359800,0.3758,1052
395400,0.697,248
190800,0.3922,1024
176800,0.5448,618
361900,0.4018,1002
348200,0.553,588
167400,0.5947,484
186600,0.5408,628
284700,0.7338,189
141700,0.809,112
160400,0.4619,853
332900,0.8611,72
292800,0.346,1106
244700,0.5846,513
353700,0.62,429
154000,0.3012,1176
166400,0.5616,563
169100,0.6523,349
173700,0.4961,754
342700,0.4934,764
105100,0.6566,340
285100,0.6774,283
238200,0.8881,57
342500,0.8231,92
297200,0.7498,175
3941300,0.4133,977
104100,0.5814,524
114400,0.5638,558
153800,0.6238,419
154700,0.3678,1066
364200,0.1615,1245
244900,0.4863,775
343600,0.2838,1188
256300,0.4938,762
220800,0.6692,306
324300,0.6907,259
2106400,0.8113,109
361300,0.7702,156
363100,0.4466,895
100200,0.3525,1098
319100,0.55,596
285300,0.4672,840
1164900,0.7776,150
963500,0.5419,627
193900,0.4783,807
115300,0.4676,839
214500,0.4663,844
248000,0.4972,749
147800,0.1957,1231
309000,0.835,85
279800,0.6369,383
337900,0.8185,97
1026600,0.3188,1153
153700,0.6719,300
284400,0.6695,305
288200,0.8035,120
100500,0.2632,1202
295100,0.3519,1100
1055400,0.25,1216
934400,0.7241,199
301800,0.5525,589
101200,0.6422,369
157700,0.4263,955
332800,0.6707,303
343100,0.6026,463
251200,0.491,768
202500,0.3211,1147
344500,0.6502,354
3440300,0.4314,943
166600,0.5783,530
292700,0.8062,116
159400,0.7407,180
179900,0.7209,205
159900,0.3913,1027
208000,0.722,202
285400,0.4791,804
354300,0.7642,160
201100,0.2059,1228
173500,0.5338,647
385400,0.5311,656
174800,0.4463,896
132900,0.6057,460
178500,0.6278,403
182400,0.5992,470
206200,0.3268,1137
379800,0.8373,83
156100,0.3241,1140
157800,0.5321,650
185400,0.7038,237
354500,0.722,202
148900,0.7913,134
1203100,0.4364,928
2159600,0.4694,833
348600,0.6189,432
168400,0.4754,814
132100,0.7734,154
159800,0.8462,78
203100,0.4836,786
283500,0.6601,333
364100,0.4394,917
370600,0.6755,287
294600,0.3394,1116
356400,0.3831,1040
301600,0.5956,480
1167800,0.43,946
285900,0.2771,1194
170900,0.2593,1206
349500,0.6695,305
182100,0.5399,632
371500,0.622,425
290100,0.5806,526
179200,0.8017,123
320600,0.5352,644
349600,0.5435,622
143300,0.2169,1225
711300,0.6119,449
344000,0.4108,981
357100,0.5244,680
187900,0.5364,640
188000,0.7151,217
141702,0.4831,787
263800,0.5303,661
389500,0.8368,84
346700,0.4133,977
109300,0.3173,1160
290500,0.4793,803
118300,0.4954,758
154001,0.2971,1181
241400,0.6429,368
345000,0.2589,1207
639900,0.8,125
129100,0.5244,680
227900,0.4421,909
348000,0.3582,1086
280600,0.6253,414
252600,0.6316,395
158800,0.5049,728
260000,0.5,744
169300,0.2185,1224
299400,0.399,1009
246000,0.4141,974
343500,0.4495,887
379900,0.5581,571
283700,0.7189,210
335300,0.7397,182
336000,0.4286,951
129300,0.5518,591
322800,0.4762,813
332901,0.25,1216
352400,0.1825,1236
381100,0.3721,1060
131600,0.6933,254
101900,0.4506,885
102900,0.4106,982
207200,0.4854,779
302900,0.3583,1085
362400,0.4371,925
298400,0.7052,233
228200,0.5028,734
341900,0.341,1115
183000,0.7208,206
323500,0.5953,482
3255300,0.4912,767
104400,0.2036,1229
312700,0.7602,165
177500,0.8416,80
193100,0.4545,878
303700,0.7568,168
922600,0.4098,985
284500,0.779,145
209900,0.6825,273
110100,0.2654,1200
182500,0.7295,193
114700,0.5236,683
157400,0.5334,648
328500,0.6186,433
344100,0.504,730
362300,0.6262,409
317400,0.1701,1243
103600,0.661,328
210500,0.6109,453
370200,0.3291,1131
182700,0.3141,1162
291600,0.2523,1211
173400,0.6288,401
321100,0.4709,825
115500,0.516,701
296000,0.6525,348
3957400,0.6937,253
178600,0.5945,486
247300,0.529,665
351900,0.8021,121
132500,0.7046,235
298600,0.4575,866
255300,0.4777,810
754000,0.4422,908
373300,0.6205,428
262901,0.5264,673
169600,0.806,117
137800,0.5235,684
370800,0.6175,436
316400,0.5065,724
262900,0.8068,114
245300,0.5167,697
984100,0.5519,590
343200,0.4847,783
175000,0.6274,405
141600,0.295,1182
196900,0.4064,993
297600,0.5561,577
381800,0.3505,1101
223500,0.7175,212
155400,0.6161,438
113300,0.6577,337
298900,0.3531,1096
367800,0.5036,732
347700,0.25,1216
200700,0.4664,843
114000,0.4105,983
250600,0.7155,215
172200,0.5649,556
210600,0.3671,1068
345800,0.6667,317
219000,0.5314,654
986200,0.5909,495
191800,0.3432,1112
222100,0.7509,172
359100,0.3614,1078
365600,0.4188,967
108800,0.4902,769
230800,0.3865,1032
192900,0.3261,1139
284200,0.4472,892
146900,0.5496,597
933300,0.4868,774
218100,0.7017,240
273200,0.5999,469
359200,0.4547,874
184600,0.4683,836
337100,0.6918,258
3011300,0.4853,780
250200,0.4922,766
134200,0.6538,346
223400,0.5657,553
277700,0.4436,905
170700,0.6246,416
147300,0.4959,756
382721,0.1921,1232
974100,0.7064,231
216100,0.5449,616
110800,0.6228,421
210200,0.4294,947
380800,0.4661,845
304900,0.6344,387
294400,0.3686,1065
269900,0.7084,227
325900,0.6127,446
218500,0.514,708
210700,0.6278,403
710900,0.3724,1059
348100,0.4797,799
351100,0.5795,528
212300,0.309,1166
282300,0.5875,504
258600,0.5122,714
383100,0.6374,379
290600,0.6973,245
232600,0.5006,738
315100,0.3708,1063
172400,0.6136,444
262902,0.6589,335
109800,0.3619,1075
359900,0.4275,952
271300,0.3882,1029
252400,0.5962,475
295300,0.3588,1084
322400,0.802,122
365200,0.4811,793
239400,0.5716,540
241500,0.5352,644
212200,0.6319,393
265100,0.2797,1190
157200,0.5132,711
171000,0.7335,190
262100,0.5854,510
259700,0.3189,1152
387500,0.4586,862
238900,0.6676,311
345100,0.4522,883
253400,0.4162,971
3101900,0.413,978
146700,0.4965,752
181100,0.268,1199
141705,0.5357,641
259800,0.6159,439
335400,0.6603,332
316500,0.4744,817
278200,0.4475,890
297500,0.5453,615
368400,0.5712,544
319300,0.3387,1117
294200,0.238,1220
251800,0.5221,686
234600,0.7242,197
164100,0.7383,185
2136600,0.6143,440
299000,0.4869,773
236500,0.6408,374
180100,0.686,269
167800,0.5294,664
246300,0.4793,803
306900,0.2946,1183
304100,0.4862,776
934500,0.669,307
3724300,0.5369,639
331300,0.532,651
200800,0.5236,683
162400,0.5183,694
223900,0.5241,681
163900,0.386,1034
136000,0.2414,1219
383200,0.3571,1090
344800,0.73,192
208300,0.321,1148
134500,0.2125,1226
144300,0.4581,863
359400,0.502,736
303000,0.3185,1154
337903,0.5214,687
340700,0.426,956
344900,0.3864,1033
313400,0.4364,928
200300,0.5203,688
376500,0.3263,1138
372100,0.8243,91
919200,0.4587,861
369200,0.5766,534
141704,0.5246,678
307700,0.7899,136
278800,0.6409,373
281600,0.7985,126
2066200,0.6021,464
140200,0.7596,166
274800,0.7209,205
115400,0.4974,747
332700,0.6745,288
203200,0.4373,921
148100,0.4595,859
229000,0.7886,138
364400,0.5908,496
234300,0.6139,442
316300,0.3438,1110
196200,0.3556,1092
2270600,0.4706,827
252300,0.6639,322
183300,0.4561,870
125100,0.6311,398
180400,0.5156,703
381200,0.3338,1125
275800,0.7507,173
2141500,0.6504,353
236000,0.5036,732
125300,0.6327,391
231800,0.5395,634
374900,0.6688,308
999200,0.2083,1227
352500,0.4343,933
386300,0.7928,133
158000,0.626,411
244100,0.4844,785
372000,0.5599,567
261700,0.638,377
208600,0.6439,366
237500,0.432,937
398200,0.6505,352
230700,0.456,871
292900,0.5397,633
332916,0.3178,1158
4127100,0.6356,386
234200,0.5853,511
181400,0.2786,1192
712100,0.6374,379
288500,0.7743,153
366500,0.4047,997
388400,0.6773,285
162600,0.5779,531
377800,0.8315,87
316700,0.4631,849
211400,0.3774,1050
167600,0.7396,183
316600,0.5865,507
143100,0.7898,137
220100,0.3533,1095
101600,0.3887,1028
184700,0.4579,864
282100,0.7153,216
233400,0.6264,407
154600,0.3032,1173
260800,0.4821,790
291300,0.5056,726
178800,0.7784,148
219300,0.4083,989
352800,0.6619,326
308900,0.6905,260
386800,0.5616,563
214400,0.4316,942
195200,0.6773,285
332500,0.6415,372
336600,0.7209,205
2065300,0.3483,1104
280500,0.6293,400
271200,0.4398,915
374700,0.459,860
226600,0.4537,880
189500,0.3305,1127
225900,0.3655,1070
185000,0.6807,276
703200,0.5,744
172500,0.5561,577
232300,0.5438,620
754400,0.625,415
391100,0.4846,784
175300,0.5714,543
178100,0.8931,53
159100,0.4515,884
179800,0.6113,452
291000,0.3811,1045
186000,0.778,149
224300,0.5554,581
214700,0.6417,370
373600,0.6371,382
321600,0.4205,964
306600,0.4859,777
