OPEID,CITY,INSTNM,INSTURL,STABBR
130500,Stanford,Stanford University,www.stanford.edu/,CA
215500,Cambridge,Harvard University,www.harvard.edu,MA
142600,New Haven,Yale University,www.yale.edu,CT
270700,New York,Columbia University in the City of New York,www.columbia.edu,NY
262700,Princeton,Princeton University,www.princeton.edu,NJ
217800,Cambridge,Massachusetts Institute of Technology,web.mit.edu/student/,MA
340100,Providence,Brown University,www.brown.edu,RI
177400,Chicago,University of Chicago,WWW.UCHICAGO.EDU,IL
113100,Pasadena,California Institute of Technology,www.caltech.edu,CA
337800,Philadelphia,University of Pennsylvania,www.upenn.edu,PA
117000,Claremont,Claremont McKenna College,www.cmc.edu,CA
292000,Durham,Duke University,WWW.DUKE.EDU,NC
257300,Hanover,Dartmouth College,www.dartmouth.edu,NH
3946300,Needham,Franklin W Olin College of Engineering,www.olin.edu,MA
117300,Claremont,Pomona College,www.pomona.edu,CA
353500,Nashville,Vanderbilt University,www.vanderbilt.edu,TN
173900,Evanston,Northwestern University,www.northwestern.edu,IL
211500,Amherst,Amherst College,www.amherst.edu,MA
271100,Ithaca,Cornell University,www.cornell.edu,NY
117100,Claremont,Harvey Mudd College,https://www.hmc.edu,CA
271000,New York,Cooper Union for the Advancement of Science and Art,www.cooper.edu,NY
360400,Houston,Rice University,www.rice.edu,TX
131200,Berkeley,University of California-Berkeley,www.berkeley.edu,CA
207700,Baltimore,Johns Hopkins University,www.jhu.edu,MD
242400,Itta Bena,Mississippi Valley State University,www.mvsu.edu,MS
337000,Swarthmore,Swarthmore College,www.swarthmore.edu,PA
252000,Saint Louis,Washington University in St Louis,www.wustl.edu,MO
369100,Middlebury,Middlebury College,www.middlebury.edu,VT
221900,Medford,Tufts University,www.tufts.edu,MA
144500,Washington,Georgetown University,www.georgetown.edu,DC
132800,Los Angeles,University of Southern California,www.usc.edu/,CA
131500,Los Angeles,University of California-Los Angeles,www.ucla.edu/,CA
222900,Williamstown,Williams College,www.williams.edu,MA
376800,Lexington,Washington and Lee University,www.wlu.edu/,VA
202600,New Orleans,Southern University at New Orleans,www.suno.edu,LA
184000,Notre Dame,University of Notre Dame,www.nd.edu,IN
291800,Davidson,Davidson College,www.davidson.edu/,NC
158700,Augusta,Paine College,www.paine.edu,GA
2053000,Lynchburg,Liberty University,www.liberty.edu,VA
234000,Northfield,Carleton College,www.carleton.edu,MN
289500,Poughkeepsie,Vassar College,www.vassar.edu,NY
270800,New York,Barnard College,www.barnard.edu,NY
376600,Richmond,Virginia Union University,www.vuu.edu,VA
3982300,Memphis,Visible Music College,www.visible.edu,TN
