opeid,instnm,city,stabbr,insturl,adm_rate,sat_avg,grad_debt_mdn,inexpfte,pftfac,locale,ugds_white,c150_4,adm_rate_rank,sat_avg_rank,c150_4_rank,pftfac_rank,ugds_white_rank,inexpfte_rank,grad_debt_mdn_rank
130500,Stanford University,Stanford,CA,www.stanford.edu/,0.0509,1465,12782,93146,0.9789,21,0.3752,0.946,-31318,-30517,-22669,-11996,-10815,-94176,-23880
215500,Harvard University,Cambridge,MA,www.harvard.edu,0.0596,1501,6500,49500,0.8653,12,0.4527,0.9752,-30864,-33245,-24351,-7134,-7251,-44448,-37755
142600,Yale University,New Haven,CT,www.yale.edu,0.063,1493,13774,107982,0.7395,12,0.4705,0.962,-30687,-32639,-23591,-1750,-6432,-111079,-21689
270700,Columbia University in the City of New York,New York,NY,www.columbia.edu,0.0695,1470,23000,80944,0.5344,11,0.3874,0.9469,-30348,-30896,-22721,7028,-10254,-80274,-1311
262700,Princeton University,Princeton,NJ,www.princeton.edu,0.0744,1491,7500,52224,0.8598,21,0.4597,0.9678,-30092,-32487,-23925,-6898,-6929,-47552,-35547
217800,Massachusetts Institute of Technology,Cambridge,MA,web.mit.edu/student/,0.0788,1500,14990,62770,0.9891,12,0.3677,0.913,-29862,-33169,-20768,-12432,-11160,-59567,-19003
340100,Brown University,Providence,RI,www.brown.edu,0.0874,1435,15500,33278,0.8821,12,0.4355,0.9612,-29413,-28243,-23545,-7853,-8042,-25966,-17877
177400,University of Chicago,Chicago,IL,WWW.UCHICAGO.EDU,0.0876,1505,12500,83779,0.8204,11,0.4491,0.9288,-29403,-33548,-21678,-5212,-7416,-83504,-24503
113100,California Institute of Technology,Pasadena,CA,www.caltech.edu,0.0883,1545,11812.5,92590,0.9462,12,0.2787,0.9153,-29366,-36580,-20901,-10596,-15253,-93542,-26021
337800,University of Pennsylvania,Philadelphia,PA,www.upenn.edu,0.1037,1452,21500,49018,0.7158,11,0.4543,0.9561,-28563,-29532,-23251,-735,-7177,-43899,-4624
